date,open,low,high,close,volume,base_currency,target_currency
2024-10-18 16:00:00,1.08635,1.08627,1.08691,1.08652,3219,EUR,USD
2024-10-18 12:00:00,1.08532,1.08525,1.08679,1.08634,22483,EUR,USD
2024-10-18 08:00:00,1.08478,1.08461,1.08642,1.08532,42737,EUR,USD
2024-10-18 04:00:00,1.08406,1.08338,1.08516,1.08478,32083,EUR,USD
2024-10-18 00:00:00,1.08382,1.08366,1.08483,1.08406,27138,EUR,USD
2024-10-17 20:00:00,1.08288,1.0827,1.08393,1.08382,22544,EUR,USD
2024-10-17 16:00:00,1.08276,1.08249,1.08329,1.08288,6807,EUR,USD
2024-10-17 12:00:00,1.08362,1.08206,1.08367,1.08276,25787,EUR,USD
2024-10-17 08:00:00,1.08629,1.08107,1.08732,1.08362,87465,EUR,USD
2024-10-17 04:00:00,1.08544,1.08487,1.08671,1.08629,30980,EUR,USD
2024-10-17 00:00:00,1.08526,1.08487,1.08581,1.08544,25916,EUR,USD
2024-10-16 20:00:00,1.08585,1.08508,1.08648,1.08526,24263,EUR,USD
2024-10-16 16:00:00,1.08573,1.08558,1.08687,1.08585,8904,EUR,USD
2024-10-16 12:00:00,1.08721,1.08528,1.08765,1.08573,23332,EUR,USD
2024-10-16 08:00:00,1.0894,1.08657,1.09011,1.08721,48205,EUR,USD
2024-10-16 04:00:00,1.08819,1.08774,1.08969,1.0894,35289,EUR,USD
2024-10-16 00:00:00,1.08907,1.08749,1.08928,1.08819,32107,EUR,USD
2024-10-15 20:00:00,1.08828,1.08817,1.08954,1.08907,21296,EUR,USD
2024-10-15 16:00:00,1.08866,1.08827,1.08926,1.08828,6814,EUR,USD
2024-10-15 12:00:00,1.08986,1.08815,1.09021,1.08866,27504,EUR,USD
2024-10-15 08:00:00,1.09006,1.08981,1.09165,1.08986,52748,EUR,USD
2024-10-15 04:00:00,1.08982,1.08968,1.09159,1.09006,38207,EUR,USD
2024-10-15 00:00:00,1.08962,1.08846,1.08984,1.08982,29711,EUR,USD
2024-10-14 20:00:00,1.09085,1.08953,1.09095,1.08962,18211,EUR,USD
2024-10-14 16:00:00,1.09036,1.09025,1.09101,1.09085,6543,EUR,USD
2024-10-14 12:00:00,1.09065,1.08878,1.09082,1.09036,21391,EUR,USD
2024-10-14 08:00:00,1.09124,1.09043,1.09271,1.09065,46827,EUR,USD
2024-10-14 04:00:00,1.0928,1.09088,1.09364,1.09123,30221,EUR,USD
2024-10-14 00:00:00,1.09252,1.0922,1.09308,1.0928,21466,EUR,USD
2024-10-13 20:00:00,1.09228,1.09149,1.09288,1.09252,22117,EUR,USD
2024-10-11 16:00:00,1.09329,1.09321,1.09379,1.09355,4679,EUR,USD
2024-10-11 12:00:00,1.09412,1.0932,1.0948,1.0933,19666,EUR,USD
2024-10-11 08:00:00,1.09309,1.0925,1.09524,1.09413,43562,EUR,USD
2024-10-11 04:00:00,1.0945,1.0926,1.0954,1.09308,26145,EUR,USD
2024-10-11 00:00:00,1.0938,1.093,1.0946,1.09446,18985,EUR,USD
2024-10-10 20:00:00,1.09335,1.0928,1.0941,1.09396,16104,EUR,USD
2024-10-10 16:00:00,1.0934,1.09301,1.09374,1.09332,7917,EUR,USD
2024-10-10 12:00:00,1.09245,1.08996,1.09344,1.0934,47437,EUR,USD
2024-10-10 08:00:00,1.09306,1.09067,1.09546,1.09245,108465,EUR,USD
2024-10-10 04:00:00,1.09371,1.09269,1.09394,1.09306,31796,EUR,USD
2024-10-10 00:00:00,1.09431,1.09327,1.09443,1.09371,27925,EUR,USD
2024-10-09 20:00:00,1.09412,1.09386,1.09457,1.09431,26054,EUR,USD
2024-10-09 16:00:00,1.09382,1.09362,1.09423,1.09412,8144,EUR,USD
2024-10-09 12:00:00,1.09503,1.09358,1.09503,1.09382,30033,EUR,USD
2024-10-09 08:00:00,1.09537,1.09391,1.09594,1.09503,50788,EUR,USD
2024-10-09 04:00:00,1.09599,1.09529,1.09705,1.09537,34987,EUR,USD
2024-10-09 00:00:00,1.09674,1.09506,1.09757,1.09599,40669,EUR,USD
2024-10-08 20:00:00,1.09752,1.09665,1.09784,1.09674,26938,EUR,USD
2024-10-08 16:00:00,1.09775,1.09711,1.09807,1.09752,10807,EUR,USD
2024-10-08 12:00:00,1.09695,1.09654,1.09779,1.09775,30882,EUR,USD
2024-10-08 08:00:00,1.09873,1.09606,1.09895,1.09695,57248,EUR,USD
2024-10-08 04:00:00,1.09949,1.09781,1.09969,1.09873,38543,EUR,USD
2024-10-08 00:00:00,1.09828,1.09782,1.09952,1.09949,36866,EUR,USD
2024-10-07 20:00:00,1.09739,1.09724,1.09865,1.09828,32951,EUR,USD
2024-10-07 16:00:00,1.0972,1.09693,1.09788,1.09739,11357,EUR,USD
2024-10-07 12:00:00,1.09756,1.09653,1.09865,1.0972,33580,EUR,USD
2024-10-07 08:00:00,1.09765,1.09692,1.09844,1.09756,67450,EUR,USD
2024-10-07 04:00:00,1.09691,1.09539,1.09802,1.09765,48527,EUR,USD
2024-10-07 00:00:00,1.09717,1.09577,1.09732,1.09691,33765,EUR,USD
2024-10-06 20:00:00,1.09701,1.09678,1.09773,1.09717,29120,EUR,USD
2024-10-04 16:00:00,1.09761,1.09713,1.09774,1.09717,3679,EUR,USD
2024-10-04 12:00:00,1.09605,1.095,1.0978,1.09758,26533,EUR,USD
2024-10-04 08:00:00,1.10318,1.0953,1.1034,1.09601,53004,EUR,USD
2024-10-04 04:00:00,1.10279,1.1018,1.1037,1.10323,29824,EUR,USD
2024-10-04 00:00:00,1.1027,1.1023,1.1036,1.10271,25564,EUR,USD
2024-10-03 20:00:00,1.10348,1.1024,1.104,1.10271,21991,EUR,USD
2024-10-03 16:00:00,1.10282,1.10258,1.10368,1.10347,8164,EUR,USD
2024-10-03 12:00:00,1.10143,1.10137,1.10359,1.10281,38744,EUR,USD
2024-10-03 08:00:00,1.10424,1.10079,1.10465,1.10143,100201,EUR,USD
2024-10-03 04:00:00,1.10327,1.1029,1.10463,1.10424,49333,EUR,USD
2024-10-03 00:00:00,1.10354,1.10244,1.10419,1.10327,42184,EUR,USD
2024-10-02 20:00:00,1.10455,1.10317,1.10463,1.10354,24043,EUR,USD
2024-10-02 16:00:00,1.10486,1.10409,1.10522,1.10455,15043,EUR,USD
2024-10-02 12:00:00,1.10491,1.10364,1.10546,1.10486,32712,EUR,USD
2024-10-02 08:00:00,1.10752,1.10322,1.1077,1.10491,74523,EUR,USD
2024-10-02 04:00:00,1.10662,1.10609,1.10826,1.10752,47641,EUR,USD
2024-10-02 00:00:00,1.10705,1.10537,1.10734,1.10662,41694,EUR,USD
2024-10-01 20:00:00,1.10642,1.1063,1.10737,1.10705,25272,EUR,USD
2024-10-01 16:00:00,1.10672,1.10629,1.10724,1.10642,10888,EUR,USD
2024-10-01 12:00:00,1.10659,1.10454,1.10769,1.10672,60742,EUR,USD
2024-10-01 08:00:00,1.10842,1.10555,1.10884,1.10659,102759,EUR,USD
2024-10-01 04:00:00,1.1115,1.10782,1.11199,1.10842,56869,EUR,USD
2024-10-01 00:00:00,1.11373,1.11112,1.11437,1.1115,42595,EUR,USD
2024-09-30 20:00:00,1.11362,1.11268,1.1143,1.11373,23208,EUR,USD
2024-09-30 16:00:00,1.11323,1.11277,1.11423,1.11362,10539,EUR,USD
2024-09-30 12:00:00,1.11438,1.11132,1.11631,1.11323,65291,EUR,USD
2024-09-30 08:00:00,1.11973,1.11346,1.1201,1.11438,78174,EUR,USD
2024-09-30 04:00:00,1.11718,1.11718,1.12087,1.11973,51075,EUR,USD
2024-09-30 00:00:00,1.11579,1.11557,1.11752,1.11718,31275,EUR,USD
2024-09-29 20:00:00,1.11686,1.11558,1.11735,1.11579,24997,EUR,USD
2024-09-27 16:00:00,1.11638,1.1158,1.11678,1.11593,4702,EUR,USD
2024-09-27 12:00:00,1.11584,1.11461,1.11678,1.11638,42122,EUR,USD
2024-09-27 08:00:00,1.11624,1.11538,1.1203,1.11584,93142,EUR,USD
2024-09-27 04:00:00,1.11329,1.11262,1.1171,1.11624,49500,EUR,USD
2024-09-27 00:00:00,1.11691,1.11245,1.1176,1.11329,62710,EUR,USD
2024-09-26 20:00:00,1.11769,1.11624,1.11775,1.11691,27243,EUR,USD
2024-09-26 16:00:00,1.11777,1.11732,1.11787,1.11769,15637,EUR,USD
2024-09-26 12:00:00,1.11827,1.11662,1.11841,1.11777,43017,EUR,USD
2024-09-26 08:00:00,1.1154,1.11257,1.11892,1.11827,99591,EUR,USD
2024-09-26 04:00:00,1.11348,1.11256,1.11614,1.1154,52780,EUR,USD
2024-09-26 00:00:00,1.11405,1.11335,1.1158,1.11348,35977,EUR,USD
2024-09-25 20:00:00,1.11296,1.11288,1.11452,1.11405,18956,EUR,USD
2024-09-25 16:00:00,1.1126,1.11249,1.11334,1.11296,8659,EUR,USD
2024-09-25 12:00:00,1.11431,1.11215,1.11476,1.1126,39615,EUR,USD
2024-09-25 08:00:00,1.11957,1.11417,1.12141,1.11431,75058,EUR,USD
2024-09-25 04:00:00,1.11917,1.11781,1.11974,1.11957,42021,EUR,USD
2024-09-25 00:00:00,1.11981,1.11857,1.11986,1.11917,30628,EUR,USD
2024-09-24 20:00:00,1.11909,1.11852,1.11987,1.11981,26914,EUR,USD
2024-09-24 16:00:00,1.11765,1.1175,1.11912,1.11909,9165,EUR,USD
2024-09-24 12:00:00,1.11497,1.11493,1.11767,1.11765,32271,EUR,USD
2024-09-24 08:00:00,1.1129,1.1129,1.11634,1.11497,71622,EUR,USD
2024-09-24 04:00:00,1.11268,1.1122,1.1146,1.1129,41369,EUR,USD
2024-09-24 00:00:00,1.11125,1.11042,1.11322,1.11268,39242,EUR,USD
2024-09-23 20:00:00,1.11108,1.11033,1.11137,1.11125,24116,EUR,USD
2024-09-23 16:00:00,1.11146,1.11073,1.11149,1.11108,8129,EUR,USD
2024-09-23 12:00:00,1.11302,1.11119,1.11303,1.11146,39076,EUR,USD
2024-09-23 08:00:00,1.11197,1.11084,1.11434,1.11302,74374,EUR,USD
2024-09-23 04:00:00,1.11014,1.10831,1.11257,1.11197,49672,EUR,USD
2024-09-23 00:00:00,1.11615,1.10976,1.11673,1.11014,39467,EUR,USD
2024-09-22 20:00:00,1.1159,1.11556,1.11649,1.11615,18879,EUR,USD
2024-09-20 16:00:00,1.1162,1.1156,1.11638,1.11601,4789,EUR,USD
2024-09-20 12:00:00,1.11588,1.11571,1.11758,1.1162,48657,EUR,USD
2024-09-20 08:00:00,1.11615,1.1136,1.11768,1.11588,78544,EUR,USD
2024-09-20 04:00:00,1.11626,1.11522,1.11691,1.11615,41754,EUR,USD
2024-09-20 00:00:00,1.11656,1.11593,1.11818,1.11626,43519,EUR,USD
2024-09-19 20:00:00,1.11592,1.11571,1.11692,1.11656,27178,EUR,USD
2024-09-19 16:00:00,1.1162,1.11576,1.11643,1.11592,8986,EUR,USD
2024-09-19 12:00:00,1.11467,1.11451,1.11678,1.1162,41664,EUR,USD
2024-09-19 08:00:00,1.1158,1.11164,1.11582,1.11467,100664,EUR,USD
2024-09-19 04:00:00,1.11459,1.11448,1.11789,1.1158,55537,EUR,USD
2024-09-19 00:00:00,1.11185,1.1115,1.1153,1.11458,51096,EUR,USD
2024-10-18 16:00:00,1.30424,1.3041,1.30498,1.30467,12568,GBP,USD
2024-10-18 12:00:00,1.30212,1.30197,1.30457,1.30424,38807,GBP,USD
2024-10-18 08:00:00,1.30446,1.30198,1.30665,1.30212,62380,GBP,USD
2024-10-18 04:00:00,1.3052,1.30337,1.3053,1.30446,45464,GBP,USD
2024-10-18 00:00:00,1.30202,1.30192,1.30706,1.3052,45068,GBP,USD
2024-10-17 20:00:00,1.30142,1.30105,1.30261,1.30202,37786,GBP,USD
2024-10-17 16:00:00,1.30123,1.30005,1.30166,1.30142,13966,GBP,USD
2024-10-17 12:00:00,1.3007,1.29984,1.30149,1.30123,40852,GBP,USD
2024-10-17 08:00:00,1.30154,1.2979,1.3023,1.30068,107648,GBP,USD
2024-10-17 04:00:00,1.29839,1.29745,1.30169,1.30154,42128,GBP,USD
2024-10-17 00:00:00,1.29863,1.29732,1.29925,1.29839,40807,GBP,USD
2024-10-16 20:00:00,1.29903,1.29799,1.3001,1.29863,37637,GBP,USD
2024-10-16 16:00:00,1.29819,1.29797,1.29921,1.29903,19401,GBP,USD
2024-10-16 12:00:00,1.29993,1.29765,1.30052,1.29819,30458,GBP,USD
2024-10-16 08:00:00,1.30307,1.29953,1.30374,1.29993,62931,GBP,USD
2024-10-16 04:00:00,1.30002,1.29912,1.30321,1.30307,52853,GBP,USD
2024-10-16 00:00:00,1.30709,1.29819,1.30762,1.30002,62307,GBP,USD
2024-10-15 20:00:00,1.30642,1.30594,1.30768,1.30709,34456,GBP,USD
2024-10-15 16:00:00,1.3067,1.30626,1.30746,1.30642,16455,GBP,USD
2024-10-15 12:00:00,1.30818,1.30601,1.30847,1.3067,41913,GBP,USD
2024-10-15 08:00:00,1.30758,1.30739,1.31026,1.30818,77275,GBP,USD
2024-10-15 04:00:00,1.3073,1.30668,1.30963,1.30758,39204,GBP,USD
2024-10-15 00:00:00,1.30538,1.3035,1.30735,1.3073,43930,GBP,USD
2024-10-14 20:00:00,1.30668,1.30533,1.30685,1.30538,24585,GBP,USD
2024-10-14 16:00:00,1.30548,1.30498,1.30673,1.30668,15315,GBP,USD
2024-10-14 12:00:00,1.30486,1.30411,1.3061,1.30548,32635,GBP,USD
2024-10-14 08:00:00,1.30382,1.30298,1.30599,1.30486,67858,GBP,USD
2024-10-14 04:00:00,1.30617,1.30369,1.30676,1.30382,51148,GBP,USD
2024-10-14 00:00:00,1.30588,1.30555,1.30714,1.30617,36244,GBP,USD
2024-10-13 20:00:00,1.30477,1.304,1.3062,1.30588,35880,GBP,USD
2024-10-11 16:00:00,1.3064,1.30548,1.30694,1.30583,8288,GBP,USD
2024-10-11 12:00:00,1.30692,1.3063,1.3078,1.30638,23503,GBP,USD
2024-10-11 08:00:00,1.3061,1.3053,1.30831,1.30691,43639,GBP,USD
2024-10-11 04:00:00,1.3075,1.305,1.3081,1.30608,28353,GBP,USD
2024-10-11 00:00:00,1.30545,1.304,1.3076,1.30748,23771,GBP,USD
2024-10-10 20:00:00,1.30611,1.305,1.3067,1.30546,19155,GBP,USD
2024-10-10 16:00:00,1.30551,1.30457,1.30641,1.30607,23827,GBP,USD
2024-10-10 12:00:00,1.30521,1.30213,1.3059,1.30551,65365,GBP,USD
2024-10-10 08:00:00,1.30664,1.30107,1.30879,1.30521,122157,GBP,USD
2024-10-10 04:00:00,1.30829,1.30659,1.30933,1.30663,50437,GBP,USD
2024-10-10 00:00:00,1.30751,1.30672,1.30886,1.30829,42256,GBP,USD
2024-10-09 20:00:00,1.30659,1.30643,1.30777,1.30751,39817,GBP,USD
2024-10-09 16:00:00,1.3064,1.30594,1.30746,1.30659,17903,GBP,USD
2024-10-09 12:00:00,1.30783,1.30617,1.30783,1.3064,46594,GBP,USD
2024-10-09 08:00:00,1.30838,1.30651,1.3089,1.30783,71949,GBP,USD
2024-10-09 04:00:00,1.30826,1.30674,1.30951,1.30838,54088,GBP,USD
2024-10-09 00:00:00,1.30845,1.30552,1.31014,1.30826,59736,GBP,USD
2024-10-08 20:00:00,1.30925,1.30825,1.31025,1.30845,41370,GBP,USD
2024-10-08 16:00:00,1.30997,1.30884,1.3105,1.30925,29645,GBP,USD
2024-10-08 12:00:00,1.30919,1.30754,1.31008,1.30998,59542,GBP,USD
2024-10-08 08:00:00,1.31046,1.30806,1.31131,1.30919,80996,GBP,USD
2024-10-08 04:00:00,1.31015,1.30855,1.31066,1.31046,61144,GBP,USD
2024-10-08 00:00:00,1.30923,1.30636,1.3103,1.31015,54789,GBP,USD
2024-10-07 20:00:00,1.30838,1.30838,1.31034,1.30923,47552,GBP,USD
2024-10-07 16:00:00,1.30821,1.30717,1.30877,1.30838,18403,GBP,USD
2024-10-07 12:00:00,1.30793,1.30684,1.30962,1.30822,63523,GBP,USD
2024-10-07 08:00:00,1.30816,1.3066,1.30938,1.30793,96279,GBP,USD
2024-10-07 04:00:00,1.31119,1.30587,1.31164,1.30816,75021,GBP,USD
2024-10-07 00:00:00,1.31288,1.30992,1.31303,1.31119,54980,GBP,USD
2024-10-06 20:00:00,1.31224,1.31181,1.31341,1.31288,43461,GBP,USD
2024-10-04 16:00:00,1.31261,1.31098,1.31293,1.31132,20772,GBP,USD
2024-10-04 12:00:00,1.31058,1.30949,1.31281,1.31254,37637,GBP,USD
2024-10-04 08:00:00,1.31681,1.30685,1.3175,1.31056,59079,GBP,USD
2024-10-04 04:00:00,1.31577,1.31433,1.31744,1.31696,36305,GBP,USD
2024-10-04 00:00:00,1.31278,1.3122,1.3168,1.31583,30169,GBP,USD
2024-10-03 20:00:00,1.31283,1.3122,1.3136,1.3128,25756,GBP,USD
2024-10-03 16:00:00,1.31207,1.31126,1.31312,1.3128,21089,GBP,USD
2024-10-03 12:00:00,1.31112,1.31099,1.31314,1.31207,65346,GBP,USD
2024-10-03 08:00:00,1.31126,1.30894,1.31264,1.31112,139884,GBP,USD
2024-10-03 04:00:00,1.31537,1.30923,1.31554,1.31126,83338,GBP,USD
2024-10-03 00:00:00,1.32499,1.31477,1.32517,1.31537,77999,GBP,USD
2024-10-02 20:00:00,1.32623,1.3246,1.32647,1.32499,43042,GBP,USD
2024-10-02 16:00:00,1.32709,1.32548,1.32726,1.32623,26826,GBP,USD
2024-10-02 12:00:00,1.32698,1.32577,1.32782,1.3271,60733,GBP,USD
2024-10-02 08:00:00,1.32932,1.32452,1.32961,1.32698,98020,GBP,USD
2024-10-02 04:00:00,1.32875,1.32747,1.3305,1.32932,64425,GBP,USD
2024-10-02 00:00:00,1.32853,1.32601,1.33005,1.32875,57628,GBP,USD
2024-10-01 20:00:00,1.32739,1.32739,1.32957,1.32853,35364,GBP,USD
2024-10-01 16:00:00,1.32803,1.32717,1.32861,1.32739,37104,GBP,USD
2024-10-01 12:00:00,1.32788,1.32368,1.32896,1.32803,103222,GBP,USD
2024-10-01 08:00:00,1.33197,1.32632,1.33281,1.32788,141687,GBP,USD
2024-10-01 04:00:00,1.3338,1.33106,1.3349,1.33197,80497,GBP,USD
2024-10-01 00:00:00,1.33704,1.33337,1.33847,1.3338,68295,GBP,USD
2024-09-30 20:00:00,1.33771,1.33688,1.33895,1.33704,47595,GBP,USD
2024-09-30 16:00:00,1.33707,1.33629,1.3382,1.33771,18329,GBP,USD
2024-09-30 12:00:00,1.33971,1.33468,1.34079,1.33707,91330,GBP,USD
2024-09-30 08:00:00,1.34021,1.33596,1.34168,1.33971,101288,GBP,USD
2024-09-30 04:00:00,1.33982,1.33851,1.34227,1.34021,62198,GBP,USD
2024-09-30 00:00:00,1.33839,1.33738,1.3399,1.33982,52095,GBP,USD
2024-09-29 20:00:00,1.3382,1.33732,1.33892,1.33839,39220,GBP,USD
2024-09-27 16:00:00,1.33758,1.33618,1.33764,1.33676,21051,GBP,USD
2024-09-27 12:00:00,1.33936,1.33724,1.33962,1.33761,77163,GBP,USD
2024-09-27 08:00:00,1.33879,1.33782,1.34276,1.33936,113438,GBP,USD
2024-09-27 04:00:00,1.33671,1.33596,1.33976,1.33879,63338,GBP,USD
2024-09-27 00:00:00,1.33928,1.33603,1.33967,1.33671,70456,GBP,USD
2024-09-26 20:00:00,1.34104,1.33845,1.34106,1.33928,39926,GBP,USD
2024-09-26 16:00:00,1.34144,1.33998,1.34158,1.34104,26685,GBP,USD
2024-09-26 12:00:00,1.34284,1.34049,1.34284,1.34144,77952,GBP,USD
2024-09-26 08:00:00,1.33741,1.33508,1.34343,1.34284,128831,GBP,USD
2024-09-26 04:00:00,1.33442,1.33342,1.33891,1.33741,69990,GBP,USD
2024-09-26 00:00:00,1.33386,1.33344,1.33582,1.33442,47140,GBP,USD
2024-09-25 20:00:00,1.33138,1.33123,1.33406,1.33386,28225,GBP,USD
2024-09-25 16:00:00,1.33157,1.33123,1.33234,1.33138,24009,GBP,USD
2024-09-25 12:00:00,1.3338,1.33126,1.33418,1.33157,92898,GBP,USD
2024-09-25 08:00:00,1.33757,1.33348,1.34126,1.33379,113902,GBP,USD
2024-09-25 04:00:00,1.3389,1.33637,1.33936,1.33757,71383,GBP,USD
2024-09-25 00:00:00,1.34227,1.33827,1.34235,1.3389,54771,GBP,USD
2024-09-24 20:00:00,1.34265,1.34104,1.34297,1.34227,36887,GBP,USD
2024-09-24 16:00:00,1.34145,1.34091,1.34276,1.34265,18293,GBP,USD
2024-09-24 12:00:00,1.33752,1.33752,1.34152,1.34145,58760,GBP,USD
2024-09-24 08:00:00,1.33698,1.33676,1.33988,1.33752,96413,GBP,USD
2024-09-24 04:00:00,1.3349,1.3349,1.33829,1.33698,64616,GBP,USD
2024-09-24 00:00:00,1.33531,1.33316,1.33663,1.3349,65259,GBP,USD
2024-09-23 20:00:00,1.33485,1.33399,1.33573,1.33531,40595,GBP,USD
2024-09-23 16:00:00,1.33472,1.33333,1.33501,1.33485,17843,GBP,USD
2024-09-23 12:00:00,1.33505,1.33369,1.33542,1.33474,65573,GBP,USD
2024-09-23 08:00:00,1.33125,1.32994,1.33594,1.33505,102619,GBP,USD
2024-09-23 04:00:00,1.32626,1.32483,1.33187,1.33125,71443,GBP,USD
2024-09-23 00:00:00,1.33093,1.32603,1.33202,1.32626,54674,GBP,USD
2024-09-22 20:00:00,1.33119,1.33077,1.33196,1.33093,26595,GBP,USD
2024-09-20 16:00:00,1.33159,1.33095,1.33227,1.33174,21184,GBP,USD
2024-09-20 12:00:00,1.33044,1.33022,1.33315,1.33159,80272,GBP,USD
2024-09-20 08:00:00,1.32995,1.32679,1.33233,1.33044,104034,GBP,USD
2024-09-20 04:00:00,1.33123,1.32808,1.33168,1.32995,64238,GBP,USD
2024-09-20 00:00:00,1.32938,1.32868,1.33403,1.33123,62801,GBP,USD
2024-09-19 20:00:00,1.32811,1.32716,1.33015,1.32938,39136,GBP,USD
2024-09-19 16:00:00,1.32819,1.32763,1.32862,1.32811,18009,GBP,USD
2024-09-19 12:00:00,1.32788,1.32736,1.32893,1.32819,73338,GBP,USD
2024-09-19 08:00:00,1.32851,1.32193,1.32909,1.32788,119189,GBP,USD
2024-09-19 04:00:00,1.32469,1.3245,1.33142,1.32851,88166,GBP,USD
2024-09-19 00:00:00,1.32108,1.32005,1.32585,1.32469,64191,GBP,USD
2024-10-18 16:00:00,0.006685,0.0066753,0.00669,0.006686,207,JPY,USD
2024-10-18 12:00:00,0.0066837,0.00668,0.0066941,0.0066872,713,JPY,USD
2024-10-18 08:00:00,0.0066656,0.006661,0.0066874,0.0066845,720,JPY,USD
2024-10-18 04:00:00,0.006661,0.006658,0.0066813,0.0066651,716,JPY,USD
2024-10-18 00:00:00,0.00667,0.006659,0.0066761,0.0066618,717,JPY,USD
2024-10-17 20:00:00,0.00666,0.006659,0.0066717,0.0066706,714,JPY,USD
2024-10-17 16:00:00,0.0066561,0.0066514,0.0066624,0.0066602,661,JPY,USD
2024-10-17 12:00:00,0.0066602,0.006651,0.0066603,0.0066562,717,JPY,USD
2024-10-17 08:00:00,0.0066869,0.006658,0.0066888,0.0066607,719,JPY,USD
2024-10-17 04:00:00,0.006675,0.006671,0.0066885,0.0066875,717,JPY,USD
2024-10-17 00:00:00,0.006685,0.006674,0.0066928,0.0066763,716,JPY,USD
2024-10-16 20:00:00,0.0066858,0.006682,0.0066984,0.0066864,717,JPY,USD
2024-10-16 16:00:00,0.0066787,0.006674,0.006687,0.0066847,676,JPY,USD
2024-10-16 12:00:00,0.006678,0.006673,0.0066793,0.0066778,714,JPY,USD
2024-10-16 08:00:00,0.006702,0.006676,0.0067038,0.0066785,719,JPY,USD
2024-10-16 04:00:00,0.006689,0.006688,0.0067034,0.006703,719,JPY,USD
2024-10-16 00:00:00,0.0067035,0.006688,0.0067045,0.0066903,720,JPY,USD
2024-10-15 20:00:00,0.0067071,0.006696,0.0067137,0.0067023,720,JPY,USD
2024-10-15 16:00:00,0.0067,0.0066856,0.006707,0.006707,655,JPY,USD
2024-10-15 12:00:00,0.006699,0.006686,0.006703,0.0066998,718,JPY,USD
2024-10-15 08:00:00,0.0066935,0.006691,0.0067129,0.0067006,719,JPY,USD
2024-10-15 04:00:00,0.0066999,0.006693,0.0067172,0.006695,719,JPY,USD
2024-10-15 00:00:00,0.0066785,0.006676,0.0067029,0.0066996,712,JPY,USD
2024-10-14 20:00:00,0.006676,0.006676,0.0066906,0.0066787,714,JPY,USD
2024-10-14 16:00:00,0.006675,0.0066639,0.0066803,0.006678,671,JPY,USD
2024-10-14 12:00:00,0.0066736,0.006666,0.0066782,0.006676,714,JPY,USD
